Date_MM_DD_YYYY,BassTime,BassErrors,TrebleTime,TrebleErrors,AltoTime,AltoErrors,TenorTime,TenorErrors,SopranoTime,SopranoErrors,MSTime,MSErrors,BaritoneTime,BaritoneErrors,GrandTime,GrandErrors,AllButGrandTime,AllButGrandErrors
06/06/2022,          468,         2,       377,           0,     817,        11,     1002,         11,        622,            0,   655,       7,         844,            13,      376,          5,            780,                6
06/14/2022,          401,         7,       280,           0,     501,         3,      540,          4,        501,            2,   426,       5,         609,             2,      401,          0,            730,                9
06/23/2022,          461,         0,       296,           1,     643,         0,      491,          4,        490,            0,   420,       2,         618,             8,      317,          0,            542,                3
06/30/2022,          365,         1,       268,           0,     415,         1,      463,          1,        446,            5,   431,       2,         562,             7,      306,          0,            427,                2
07/09/2022,          329,         2,       266,           2,     420,         1,      450,          0,        359,            1,   352,       3,         515,             5,      296,          3,            514,                0
07/15/2022,          301,         2,       251,           0,     388,         1,      408,          0,        407,            1,   389,       0,         590,             3,      264,          2,            428,                0
07/21/2022,          294,         0,       234,           2,     369,         0,      372,          0,        349,            2,   364,       0,         450,             2,      265,          1,            444,                2
07/28/2022,          274,         6,       243,           0,     355,         3,      354,          1,        361,            0,   324,       5,         425,             3,      249,          2,            402,                1
08/10/2022,          254,         3,       227,           4,     372,         3,      378,          2,        378,            2,   356,       1,         484,             7,      261,          0,            461,                4
08/23/2022,          308,         1,       234,           1,     395,         1,      380,          3,        379,            5,   379,       4,         554,            11,      273,          1,            415,                6
         